utente,tipo_evento,cod_2
3137,1,1
3137,2,3
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,3,1
3137,1,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,2,3
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,3,1
3137,1,1
3137,3,1
3137,1,1
3137,2,3
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,2,3
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,2,3
3137,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,2,3
3138,1,1
3138,1,1
3138,2,3
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,2,3
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,2,3
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,2,3
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,1,1
3138,2,3
3138,1,1
3141,2,3
3141,1,1
3141,1,1
3141,2,3
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,2,3
3141,3,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,2,3
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,2,3
3141,1,1
3141,1,1
3141,2,3
3141,2,3
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,2,3
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3141,1,1
3147,1,1
3147,1,1
3147,1,1
3147,1,1
3147,1,1
3147,1,1
3148,1,1
3148,2,3
3148,1,1
3148,1,1
3148,2,3
3148,1,1
3148,1,1
3148,1,1
3148,1,1
3148,1,1
3150,1,1
3150,1,1
3150,2,3
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,2,3
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3150,1,1
3152,1,1
3152,2,3
3152,2,3
3152,1,1
3152,2,3
3152,1,1
3152,2,3
3152,2,3
3152,1,1
3152,1,1
3152,1,1
3152,1,1
3152,1,1
3152,2,3
3152,2,3
3152,2,3
3152,2,3
3152,2,3
3152,2,3
3152,2,3
3152,1,1
3152,2,3
3152,1,1
3152,1,1
3152,1,1
3152,1,1
3152,1,1
3152,1,1
3152,1,1
3152,1,1
3152,2,3
3152,1,1
3152,2,3
3152,1,1
3153,2,3
3153,1,1
3153,2,3
3153,2,3
3153,2,3
3153,2,3
3153,2,3
3153,2,3
3154,1,1
3154,2,3
3154,1,1
3154,1,1
3154,1,1
3154,1,1
3154,1,1
3154,1,1
3154,1,1
3154,1,1
3154,2,3
3154,1,1
3154,1,1
3154,1,1
3154,1,1
3154,2,3
3154,1,1
3154,2,3
3154,1,1
3154,1,1
3154,2,3
3154,1,1
3154,1,1
3156,3,1
3156,3,1
3156,1,1
3156,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,2,3
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,2,3
3157,1,1
3157,1,1
3157,2,3
3157,1,1
3157,1,1
3157,1,1
3157,2,3
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,2,3
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,2,3
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,2,3
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,1,1
3157,2,3
3157,2,3
3157,1,1
3157,1,1
3157,1,1
